Recording,正式实验6
Subject,葛雄心
Create Time,2023-11-20 11:12:28.681
Data Name,Finger8 EDA
Data Type,EDA
Sample Rate,64Hz
Segment,后静息态
Start Time,00:58:46.0200000
End Time,01:03:46.0200000
Duration,00:05:00
